AUDIT_YEAR,org_level,org_code,org_name,category,breakdown,numerator,denominator,percentage
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Age band,Age_19_to_24,130,1505,8.637873754
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Age band,Age_25_to_29,135,1505,8.970099668
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Age band,Age_30_to_39,235,1505,15.61461794
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Age band,Age_40_to_49,250,1505,16.61129568
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Age band,Age_50_to_59,305,1505,20.26578073
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Age band,Age_60_to_69,280,1505,18.60465116
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Age band,Age_70_to_79,135,1505,8.970099668
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Age band,Age_80_plus,35,1505,2.325581395
2020_21,CCG/LHB,00L,NHS Northumberland CCG,BMI group,Healthy weight,285,1505,18.93687708
2020_21,CCG/LHB,00L,NHS Northumberland CCG,BMI group,Obese,235,1505,15.61461794
2020_21,CCG/LHB,00L,NHS Northumberland CCG,BMI group,Overweight,395,1505,26.24584718
2020_21,CCG/LHB,00L,NHS Northumberland CCG,BMI group,Severely obese,130,1505,8.637873754
2020_21,CCG/LHB,00L,NHS Northumberland CCG,BMI group,Underweight,15,1505,0.996677741
2020_21,CCG/LHB,00L,NHS Northumberland CCG,BMI group,unknown,440,1505,29.2358804
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Deprivation,1 - most deprived,370,1505,24.58471761
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Deprivation,2 - 2nd most deprived,315,1505,20.93023256
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Deprivation,3 - 3rd most deprived,260,1505,17.27574751
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Deprivation,4 - 2nd least deprived,270,1505,17.94019934
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Deprivation,5 - least deprived,285,1505,18.93687708
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Deprivation,unknown,5,1505,0.332225914
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Diabetes duration,< 1 year,75,1505,4.983388704
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Diabetes duration,10-14 years,175,1505,11.62790698
2020_21,CCG/LHB,00L,NHS Northumberland CCG,Diabetes duration,1-4 years,240,1505,15.94684385
